Tag,Colony,Date,total_followed,total_movement,total_follower,count,sex,age,Total_Adults,Total_Adult_Females,Total_Adult_Males,Total_Subadults,Total_Juveniles,Group_Size
525,8.1,29/07/2012,0,2,0,2,2,2,2,1,1,1,0,4
525,8.1,30/06/2012,0,3,0,6,2,2,5,3,2,2,0,7
525,8.1,31/05/2012,0,5,0,12,2,2,3,3,0,2,0,5
525,8.1,31/07/2012,0,3,0,9,2,2,5,3,2,3,0,8
527,52,19/07/2012,0,7,0,32,2,1,2,1,1,1,0,3
527,52,20/07/2012,0,6,0,34,2,1,3,2,1,1,0,4
527,52,21/07/2012,0,1,0,32,2,1,4,2,2,1,0,5
527,52,23/07/2012,0,5,0,30,2,1,2,1,1,1,0,3
527,52,24/05/2012,0,3,1,11,2,1,3,2,1,2,0,5
527,52,24/07/2012,0,6,0,21,2,1,2,1,1,1,0,3
527,52,25/07/2012,1,7,0,35,2,1,2,1,1,1,0,3
527,52,26/07/2012,0,4,0,25,2,1,2,1,1,1,0,3
527,52,27/07/2012,0,27,0,59,2,1,5,2,3,1,0,6
527,52,28/07/2012,0,2,0,14,2,1,3,1,2,1,0,4
528,52,20/07/2012,0,3,0,6,2,1,3,2,1,1,0,4
528,52,24/05/2012,1,3,0,7,2,1,3,2,1,2,0,5
528,52,27/07/2012,0,2,0,8,2,1,5,2,3,1,0,6
556,29D,02/07/2012,0,1,0,6,2,1,4,3,1,3,0,7
556,29D,12/06/2012,0,3,0,16,2,1,5,4,1,3,0,8
556,29D,18/06/2012,0,1,0,1,2,1,5,4,1,3,0,8
559,29D,13/07/2012,0,1,0,1,1,1,5,3,2,1,0,6
559,29D,14/06/2012,0,3,0,5,1,1,5,3,2,3,0,8
559,29D,15/07/2012,0,3,0,3,1,1,4,2,2,2,0,6
562,29D,02/07/2012,0,5,0,13,1,1,4,3,1,3,0,7
562,29D,10/07/2012,0,7,0,18,1,1,4,3,1,3,0,7
562,29D,12/06/2012,0,2,0,10,1,1,5,4,1,3,0,8
562,29D,12/08/2012,0,3,0,6,1,1,6,4,2,1,4,11
562,29D,13/07/2012,0,1,0,3,1,1,5,3,2,1,0,6
562,29D,14/06/2012,0,7,0,18,1,1,5,3,2,3,0,8
562,29D,15/07/2012,0,2,0,5,1,1,4,2,2,2,0,6
562,29D,16/08/2012,1,4,0,17,1,1,6,4,2,1,3,10
562,29D,17/06/2012,0,2,0,10,1,1,3,2,1,3,0,6
562,29D,17/08/2012,0,3,0,6,1,1,6,4,2,1,1,8
562,29D,18/06/2012,0,10,2,24,1,1,5,4,1,3,0,8
563,29D,04/08/2012,0,1,0,4,2,1,4,4,0,2,0,6
563,29D,12/08/2012,1,7,0,22,2,1,6,4,2,1,4,11
563,29D,13/08/2012,1,7,1,21,2,1,4,4,0,1,1,6
563,29D,16/08/2012,0,5,0,15,2,1,6,4,2,1,3,10
563,29D,17/08/2012,0,8,0,18,2,1,6,4,2,1,1,8
566,29D,12/06/2012,0,1,0,6,2,1,5,4,1,3,0,8
566,29D,12/08/2012,0,5,0,16,2,1,6,4,2,1,4,11
566,29D,13/07/2012,0,1,0,2,2,1,5,3,2,1,0,6
566,29D,13/08/2012,1,3,0,13,2,1,4,4,0,1,1,6
566,29D,14/06/2012,0,2,0,4,2,1,5,3,2,3,0,8
566,29D,15/07/2012,0,1,0,1,2,1,4,2,2,2,0,6
566,29D,16/08/2012,5,11,0,18,2,1,6,4,2,1,3,10
566,29D,17/06/2012,0,1,0,4,2,1,3,2,1,3,0,6
